USUARIO,CANTIDAD_SEGUIDORES,FECHA_POST,LIKES,REPLIES,RETWEETS,VISTAS,DESCRIPCION
PostMalone,6728710,10/02/2026 16:51:57,1271,88,150,94155,Tickets on sale now 😈 Hope to see your beautiful faces on this next run. I love yall so much 🍻💗 Let’s fucking party! Get em here: https://t.co/0Ur6rFpPx0 https://t.co/uy7RLk2W6R
PostMalone,6728710,04/02/2026 00:01:01,33828,507,2023,521108,so grateful for the chance to honor @OzzyOsbourne. thank you @MrsSOsbourne ♥️ https://t.co/eRGI3DwbYD
PostMalone,6728710,02/02/2026 13:06:15,2930,184,299,443016,THE BIG ASS STADIUM TOUR PART 2 with @JellyRoll615 &amp; @carterxfaith is coming this spring. Pre-sale begins Feb 6th at 10a local time. Sign up for pre-sale tickets here: https://t.co/0Ur6rFqnmy https://t.co/WrmmDiyv2i
PostMalone,6728710,02/02/2026 10:23:04,0,0,432,1,"RT @Revolvermag: 🦇 Post Malone pays tribute to Ozzy Osbourne at the #GRAMMYs with Slash, Duff McKagan, Chad Smith and Andrew Watt. https://…"
PostMalone,6728710,31/01/2026 19:28:31,14409,247,1125,328046,We love you Ozzy https://t.co/4pKrg2bD7J
PostMalone,6728710,25/01/2026 18:06:34,22796,1003,1461,778786,https://t.co/WqSqmttXAF
PostMalone,6728710,18/01/2026 21:13:19,12436,541,778,238488,https://t.co/0TGH99p2jn
PostMalone,6728710,10/01/2026 16:56:59,13098,524,987,396017,https://t.co/ZcA7en76xb
PostMalone,6728710,29/12/2025 23:52:40,995,57,108,237707,https://t.co/iaNDhq9yeI
PostMalone,6728710,29/12/2025 23:49:45,0,0,92,3,"RT @HuntShowdown: They’re LIVE, Hunters!  @PostMalone @xQc and @shroud are in the bayou right now, battling through the Post Malone's Murde…"
PostMalone,6728710,11/12/2025 22:57:08,973,80,123,155092,Back in @HuntShowdown for year two!! 🎪😈 Come hang at my Murder Circus Encore — now live. Love y’all ❤️‍🔥 #HuntPartner https://t.co/kjouCKUosx https://t.co/Pm70IoQmkR
PostMalone,6728710,11/12/2025 21:41:26,3601,234,388,123540,WE LOVE YOU GUWAHATI!!!!! ❤️❤️ https://t.co/yvC3GW9fzI
PostMalone,6728710,05/12/2025 14:49:46,75689,1733,5161,4634259,https://t.co/CJf8KZt0qZ
PostMalone,6728710,27/11/2025 18:32:56,0,0,321,1,"RT @dallascowboys: Happy Thanksgiving, #CowboysNation!  Don’t miss @PostMalone at The Salvation Army’s #RedKettleKickoff halftime show 🎸 ht…"
PostMalone,6728710,24/11/2025 17:57:39,1280,87,148,117464,https://t.co/ZIB0naQlfK https://t.co/Ti2THSwnsE
PostMalone,6728710,23/11/2025 21:54:17,0,0,77,7,RT @ExtraPosty: Cold music video out now! 🏞️ https://t.co/SUUpDUEKAV
PostMalone,6728710,17/11/2025 22:29:08,7952,224,607,226869,🧡🍻 https://t.co/UatBii3T9l
PostMalone,6728710,17/11/2025 03:33:51,0,0,96,3,RT @DezBryant: ..@PostMalone 88 club ⭐️
PostMalone,6728710,17/11/2025 00:08:39,4331,112,442,183730,honored to be part of the @dallascowboys @salvationarmyus red kettle kickoff halftime show. see y’all on thanksgiving 🍻 https://t.co/aXo02xj4xv
