USUARIO,SEGUIDORES,FECHA,TIPO,LIKES,COMMS,DESCRIPCION
luisitoreyfotos,1430574,04/02/2025,Post,77100,950,Regresamos… ❤️‍🩹
luisitoreyfotos,1430574,20/12/2023,Post,25498,204,"Criaturitas, Yeya está de vuelta! 😮🎀 Y hoy tuvo a una invitada muy muy especial con ella!   Y ustedes… ¿Qué preguntas le harían a Yeya? 🤔"
luisitoreyfotos,1430574,15/07/2024,Post,68158,173,El Bogueto no quiere ser educado por Luis...¿por? 😥🧐  Invitado: @elbogueto  Vamos al punto capítulo 15 completo en youtube en el canal de @luisitoreyfotos  #comedia #vamosalpunto #roast
luisitoreyfotos,1430574,19/02/2026,Post,732,14,Etiqueta a tu amigo que se cree Therian 🐶😨  #parati #comedia #sketch #humor
luisitoreyfotos,1430574,18/02/2026,Post,487,10,Soy un Therian y a mucha honra ! #therianthropy #humor #therian
luisitoreyfotos,1430574,18/02/2026,Post,637,10,"Luisito Rey acudió a un centro INEA para conocer a quienes hacen posible la alfabetización en México y vivir la experiencia de enseñar.  Porque aprender a leer y escribir transforma vidas.  📲 Descubre cómo ayudar en LeerMx.org  o llama al 800 00 60 300  Atención de lunes a viernes, de 9:00 a 18:00 hrs. #LeerYEscribir #TransformaVidas #DaElPrimerPaso"
luisitoreyfotos,1430574,18/02/2026,Post,9730,68,Es que si se parece… 🔴🥹  #comedia #familytime #sketch #parati
luisitoreyfotos,1430574,16/02/2026,Post,3827,94,El café más puro según Danger y una aparición inesperada 🤠😳🤯  Invitado: @dangerakoficial  Vamos al punto capítulo 95 completo en youtube en el canal de @luisitoreyfotos  #comedia #vamosalpunto #roast
luisitoreyfotos,1430574,16/02/2026,Post,14407,129,Te ha pasado? Cuéntame
luisitoreyfotos,1430574,14/02/2026,Post,872,5,Mejor eso que pelear en serio… 😩💖  Nuestros outfits de: @kapital_gymwear  Nuestro gym: @teambunker
luisitoreyfotos,1430574,12/02/2026,Post,1418,14,Jueves de… videoblog? 😎🇺🇸  #parati #comedia #vlog #humor #sketch
luisitoreyfotos,1430574,11/02/2026,Post,740,15,"🦏🔥 INVITADO CONFIRMADO | RHINO CON  Desde YouTube y la vieja escuela del internet mexicano llega a RHINO CON ✨ LUISITO REY ✨  Creador de contenido, parte del icónico crew de Werevertumorro, y una de las caras que marcó una generación en la era dorada de YouTube México 🎥🔥  Si creciste viendo los primeros videos virales, los sketches y el humor sin filtro… este anuncio es para ti 😏  📅 16 de mayo 📍 Centro de Congresos de Querétaro  Ven a conocerlo, tomarte foto y revivir la nostalgia del YouTube clásico en RHINO CON 🦏✨  #RhinoCon #LuisitoRey #YouTubeMX #Werevertumorro #CreadoresDeContenido #GeekMX #Querétaro"
