USUARIO,SEGUIDORES,CORAZONES_TOTALES,FECHA_POST,LIKES_VIDEO,VISTAS,DESCRIPCION
whitehouse,5200000,84600000,19/02/2026 15:15:34,5992,51480,The People’s President! 
whitehouse,5200000,84600000,19/02/2026 13:15:47,3601,25201,Here are 4 things President Trump is doing to Make Housing More Affordable for YOU! 🫵🇺🇸🏡 #FYP #MakeHousingAfforfableAgain 
whitehouse,5200000,84600000,19/02/2026 11:12:27,11593,74269,Built for this moment 🦅🔥🇺🇸 LETS GO USA 
whitehouse,5200000,84600000,18/02/2026 20:41:25,250682,1131515,You’ll see how much you appreciate the USA 🔥☄️
whitehouse,5200000,84600000,18/02/2026 16:24:57,43569,405935,Did someone say four more? 👀
whitehouse,5200000,84600000,18/02/2026 13:49:16,86252,698164,Perhaps the worst question to have ever been asked. 🤡🤡  FAKE NEWS!
whitehouse,5200000,84600000,18/02/2026 10:19:19,17529,167186,Happy Wednesday to all except those who hate and destroy everything that America stands for 
whitehouse,5200000,84600000,17/02/2026 16:30:04,34555,304284,Correcting the record… Make America Safe Again 🇺🇸 #FYP #MakeAmericaSafeAgain
whitehouse,5200000,84600000,17/02/2026 11:47:28,19393,205567,Exhaustinggg work
whitehouse,5200000,84600000,17/02/2026 08:45:01,5382,82654,There is no downside of a secure border. This is our why. 
whitehouse,5200000,84600000,16/02/2026 10:43:37,107601,1118546,say less 
whitehouse,5200000,84600000,15/02/2026 20:52:03,32126,289556,The sound of FREEDOM 🦅 @nascar 
whitehouse,5200000,84600000,15/02/2026 08:54:55,21735,269602,8/10 Americans support deporting criminal illegal aliens. It’s time to make America SAFE again 
whitehouse,5200000,84600000,14/02/2026 12:51:21,150818,954091,LET’S GO USA 🦅🦅🦅
whitehouse,5200000,84600000,14/02/2026 10:53:09,42282,366347,💘💘💘
whitehouse,5200000,84600000,13/02/2026 19:18:39,447185,4539635,Auto start-stop is officially dead. 
whitehouse,5200000,84600000,13/02/2026 15:26:47,50310,915204,We love our military families ❤️
whitehouse,5200000,84600000,13/02/2026 15:01:14,15523,226653,We ❤️ our troops 
whitehouse,5200000,84600000,12/02/2026 16:22:00,55009,555314,That Charlie Puth national anthem almost Friday feeling  @NFL 🇺🇸
whitehouse,5200000,84600000,12/02/2026 14:05:00,50289,522025,Why are Dems so opposed to making Voter ID a requirement across the country?? Pass the SAVE America Act. 
whitehouse,5200000,84600000,11/02/2026 16:40:56,24185,406994,Fact checking the Fake News once again… WATCH ⬆️
whitehouse,5200000,84600000,11/02/2026 16:13:15,41537,482700,Secure US elections!
whitehouse,5200000,84600000,11/02/2026 16:11:40,24764,367346,This is the sort of thing the President of the United states has committed our foreign policy to. President Trump is committed to this partnership and so am I. 🇺🇸
whitehouse,5200000,84600000,11/02/2026 09:34:37,17600,291405,🤑🤑🤑
whitehouse,5200000,84600000,10/02/2026 21:28:48,30389,349470,Spread a little hope & love 
whitehouse,5200000,84600000,10/02/2026 16:50:15,94313,771969,Lethality 🔥🦅
whitehouse,5200000,84600000,10/02/2026 14:04:47,146343,1303169,This is our why. Stand with ICE. 
whitehouse,5200000,84600000,09/02/2026 16:11:03,509246,4773065,Victory 👑 at the border!
whitehouse,5200000,84600000,09/02/2026 09:50:09,10755,421697,FLOTUS meets with Freed American - Israeli Hostage Keith Siegel 
whitehouse,5200000,84600000,08/02/2026 17:06:20,137666,1527866,😏 😏😏
whitehouse,5200000,84600000,08/02/2026 10:27:10,24058,462744,WARNING: President Trump is putting America FIRST 
whitehouse,5200000,84600000,07/02/2026 08:43:16,23987,554926,Iykyk 🤭
